Company Name,CEO Names,Countries
Anthropic,Jack Clark,USA
CoreWeave,Brannin McBee,USA
Hugging Face,Clement Delangu...,USA
Shield AI,Ryan Tseng,USA
Character.AI,-,USA
Writer,Waseem Alshikh,USA
Runway ML,Anastasis Germa...,USA
Cohere,Ivan Zhang,CAN
Typeface,Nipun Dave,USA
Pinecone,Edo Liberty,USA
Presight.ai,-,United Arab Emirates
Inworld AI,Ilya Gelfenbeyn,USA
Imbue,Kanjun Qiu,USA
Pryon,Igor Jablokov,USA
Together AI,Chris R̩,USA
Adept,Fred Bertsch,USA
ElevenLabs,Mati Staniszews...,USA
Synthesia,Steffen Tjerril...,UK
Unlearn.AI,Aaron Smith,USA
AI 21,Leeor Moses-Vor...,Israel
Tome,Matthew Smith,USA
Helsing,Gundbert Scherf,Germany
Captions,Mara Dilts,USA
Raspberry Pi,Jack Willis,UK
Axios HQ,Roy Schwartz,USA
Mechanical Orch...,Roque Versace,USA
Rebellions,Jinwook Oh,South Korea
tinyeinstein,-,CAN
tinyEmail,-,CAN
OP3N,-,USA
Uzum,-,Uzbekistan
Carbyne,Alex Dizengof,USA
Celestial AI,Philip Winterbo...,USA
Peroptyx,Paul McBride,
Helm.ai,Vlad Voroninski,USA
Stability AI,Simon Stevens,UK
Pano,Sonia Kastner,USA
Weka.IO,Liran Zvibel,USA
Hayden AI,Vaibhav Ghadiok,USA
Cresta,Alex Cramer,USA
AiDash,Abhishek Singh,USA
Anyscale,Robert Nishihar...,USA
Jasper,Corey Kelly,USA
Streamlit,Adrien Treuille,USA
Kumo.AI,Jure Leskovec,USA
Colossyan,Dominik Kovacs,USA
AssemblyAI,Dylan Fox,USA
Primer AI,Alyssa Haslett,USA
Spot AI,Rish Gupta,USA
Eatron Technolo...,Umut Genc,UK
Altana Trade,Raphael Tehrani...,USA
Fathom Health,Andrew Lockhart,USA
Metropolis,Peter Fisher,USA
Snorkel AI,Alexander Ratne...,USA
Personal.ai,Suman Kanuganti,
Aisera,Muddu Sudhakar,USA
MindsDB,Jorge Torres,USA
OfferFit,Victor Kostyuk,USA
Axion Ray,Daniel First,
Lexion,James Baird,USA
Labviva,Chris Lope,USA
Document Crunch,Joshua Levy,
Bioz,Daniel Levitt,USA
Inbenta Technol...,Melissa Solis,USA
A-Alpha Bio,David Younger,USA
Causaly,Yiannis Kiachop...,
Vital,Aaron Patzer,USA
Private AI,Patricia Thaine,CAN
Ambient.ai,Vikesh Khanna,USA
Fetch.AI,Humayun Sheikh,UK
OpenEnvoy,Matthew Tillman,USA
Evinced,Navin Thadani,USA
snappt,Evan Heuser,USA
Wayve,Alex Kendall,UK
GGWP,Dennis Fong,USA
Aerones,Janis Putrams,
SpotHopper,Niko Ivanovic,USA
Rain Neuromorph...,Juan Nino,USA
Genesis Therape...,Evan Feinberg,USA
Pachama,Diego Gil,USA
Oxbotica,Marta Ostroumof...,UK
Ushur,Henry Peter,USA
Prescient AI,Michael True,USA
Cyted,Rebecca Fitzger...,
ALICE Technolog...,Rene Morkos,USA
DigitalOwl,Yuval Man,Israel
Ambi Robotics,Jeff Mahler,
Adarga,Becky Haworth,UK
Miovision,Tony Brijpaul,CAN
Activeloop,Davit Buniatyan,USA
DeepCure,Michal Yona,USA
BetterYou,Sean Higgins,USA
Docyt,Baglan Rhymes,USA
Constructor.io,Michelle Swager,USA
Gridware,Tim Barat,USA
VIZIT,Jehan Hamedi,USA
NLX,Vlad Papancea,USA
Diveplane Corpo...,Mike Resnick,USA
quadric.io,Veerbhan Kheter...,USA
Continuum Indus...,Emil Hansen,
Modern Business...,Craig Wisneski,USA
Papercup,Jesse Shemen,UK
Fairbanc,Mir Haque,USA
PrecisionLife,Steve Gardner,
Cydar Medical,Rob Hague,
NoTraffic,Tal Kreisler,Israel
Onebrief,Rafa Pereira,USA
Beacon Biosigna...,Syd Cash,USA
RadAI,Doktor Gurson,USA
Ecopia,-,CAN
AZmed,Benjamin Mellou...,France
Algo,Amjad Hussain,USA
Legalsifter,Kevin Miller,USA
Kontakt.io,Philipp Gilsa,USA
Citylitics,Mark Richards,CAN
WhyLabs,Sam Gracie,USA
Insite AI,Shaveer Mirpuri,
Limbic,Ross Harper,UK
Emi Labs,Mateo Cavasotto,USA
Zilliz,Charles Xie,USA
Hyro,Rom Cohen,USA
Writesonic,-,USA
Voda.AI,Jim Fitchett,USA
Convertedin,-,USA
Respondology,Erik Swain,USA
BLP Digital AG,-,Switzerland
Abacus AI,Arvind Sundarar...,USA
Robust Intellig...,Kojin Oshiba,USA
Aleph Alpha,-,
CloudNC,Theo Saville,UK
Sofy AI,Syed Hamid,
Beehive AI,Shai Deljo,USA
Grapevine AI,Aniket Shah,USA
Parloa,Malte Kosub,Germany
TrusTrace,Hrishikesh Raja...,SWE
DataDome,Fabien Grenier,France
Expedock,King Dy,
Deep Render,Arsalan Zafar,UK
Qualsights,Nihal Advani,USA
Waabi,Frits Bigham,
Concentric,Shankar Subrama...,USA
Pactum,Kristjan Korjus,USA
care.ai,Patrick McIntyr...,USA
Voiceflow,Michael Hood,USA
GameOn,Alex Beckman,USA
Hotelmize,Omry Litvak,UK
Rezolve.AI,Manish Sharma,USA
Arize AI,Beau Moya,USA
Navina Health,Maor Adlin,
EnsoData,Sam Rusk,USA
HowNow,Ashish Kumar,UK
Upstage,Lucy Park,
Gero,Peter Fedichev,
Cricket.com,-,
Emitrr,Pulkit Gambhir,USA
Avelios,-,
InpharmD,-,USA
Daivergent,Byran Dai,
Everest Labs,Apurba Pradhan,USA
Duel Tech,Naio Tsarouchis,UK
Riverlane,Samin Ishtiaq,UK
Globaleur,Grace Guhanwang,USA
MassRobotics We...,Joyce Sidopoulo...,USA
Bee Partners,Michael Berolzh...,USA
CarePredict,Maryellen Abreu,USA
Jiminny,Tom Lavery,USA
D-ID,Eliran Kuta,Israel
Aether Biomedic...,Sarra Mullen,
Kite,-,
Anagenex,Adrian Schreyer,USA
Musixmatch,Rio Caraeff,
Morpheus Space,Daniel Bock,
JITx,Patrick Li,USA
Robin AI,James Clough,UK
Kavida.ai,Aran Fernando,UK
Optalitix,Alex Gurr,
FrontM,Kiran Venkatesh,UK
frame.ai,Jesse St. Charl...,USA
CalypsoAI,Neil Serebryany,USA
Soundtrack Your...,Ola Sars,SWE
aiXplain,Hassan Sawaf,USA
iLoF - Intellig...,Mariana Saturno,
Tabnine,Naomi Lifshitz,
Getvisibility,Mark Brosnan,USA
Exer.ai,Zaw Thet,USA
Cytora,Richard Hartley,UK
Latent AI,Sek Chai,USA
RAI,Var Shankar,
Waste Robotics,Eric Camirand,Canada
Multilingual AI...,Curtis Matlock,CAN
PROVEN,Ming Zhao,USA
Invisible AI,Eric Danziger,USA
deepc,Paul Mayer,
Nabla Health,Alex Lebrun,France
ByteCorp,-,England
Carbonated,Kolbe Launchbau...,USA
United Robots,Dariusz Mankows...,
Secondmind,Gary Brotman,
KernalBiologics,Burak YILMAZ,USA
Kloudspot,Ravi Akireddy,USA
Noble.AI,Matthew Loomis,USA
Golden,Jude Gomila,USA
Bond.ai,Madhavi Kulkarn...,
Fundraise Up,Peter Byrnes,USA
alcemy,Leopold Spenner,Germany
Journi - Smart ...,Nina Ent,
Midjourney,Nadia Ali,USA
OCELL,-,Germany
Ekkono Solution...,Rikard K̦nig,
Minio,Ugur Tigli,USA
Volta Medical,John Slump,
Mitek Systems,Max Carnecchia,USA
Abridge,,
Adept,,
Anduril Industries,,
Anthropic,,
Anyscale,,
AssemblyAI,,
Baseten,,
Cerebras Systems,,
Character.AI,,
Cleanlab,,
Codeium,,
Cohere,,
Cradle,,
Cresta,,
Databricks,,
DeepL,,
ElevenLabs,,
Figure AI,,
Glean,,
Harvey,,
Hebbia,,
Hugging Face,,
Insitro,,
Kumo.AI,,
LangChain,,
Leonardo.AI,,
Midjourney,,
Mistral AI,,
Notion,,
OpenAI,,
Owkin,,
Perplexity,,
Photoroom,,
Pika,,
Pinecone,,
Replicate,,
Rosebud AI,,
Runway,,
Sana,,
Scale AI,,
Sierra,,
Synthesia,,
Together AI,,
Tome,,
Tractian,,
Unstructured,,
Vannevar Labs,,
Waabi,,
Weaviate,,
Writer,,
Alibaba Cloud,,
DataRobot,,
Google,,
Hugging Face,,
H2O.ai,,
Rasa,,
Replicate,,
ActiveCampaign,,
ClickUp,,
Freshworks,,
HubSpot,,
monday.com,,
Pipedrive,,
"Salesforce, Inc.",,
Zoho Corporation,,
Anomali,,
CUJO AI,,
Cybereason,,
Darktrace,,
Deep Instinct,,
Proofpoint,,
SentinelOne,,
Tessian,,
Vectra AI,,
IBM (International Business Machines Corporation),,
Qlik,,
Sisense,,
Splunk,,
"ThoughtSpot, Inc",,
Ataccama,,
Informatica,,
Oracle,,
Precisely,,
SAP,,
SAS,,
AIMLEAP Outsource BigData,,
Akkio,,
Analytics8,,
Domo,,
Microsoft,,
MicroStrategy,,
MonkeyLearn,,
Amazon,,
Databricks,,
OpenText,,
Rubrik,,
Snowflake,,
Teradata,,
AlphaSense,,
Bizzabo,,
C3 AI,,
Icertis,,
People.ai,,
Phrasee,,
The Trade Desk,,
Brainly,,
Carnegie Learning,,
CENTURY Tech,,
Harbinger Group,,
AutoGrid,,
GE Vernova,,
Siemens,,
Via Science,,
Xanadu,,
AIBrain,,
OpenAI,,
SoundHound,,
Tencent,,
Cleo,,
HighRadius,,
Numerai,,
Signifyd,,
Upstart,,
Atomwise,,
Enlitic,,
PathAI,,
Suki AI,,
Tempus Labs,,
AVEVA,,
Bright Machines,,
Dataiku,,
DataRobot,,
DataToBiz,,
Domino Data Lab,,
Graphcore,,
N5 Sensors,,
SenseTime,,
Agility Robotics,,
Boston Dynamics,,
Diligent Robotics,,
Honeybee Robotics,,
iRobot,,
Skydio,,
"AEye, Inc.",,
Anduril Industries,,
Nuro,,
Pony.ai,,
Tesla,,
Waymo,,
Zoox,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
Agora,,
Momenta,,
Lynk,,
Zhipu.ai,,
AInnovation,,
GotBot,,
Melio AI,,
Clevva,,
Karr Dynamics,,
Zindi,,
Xineoh,,
DataProphet,,
Ashanti AI,,
Eden AI,,
Isazi,,
LARCAI,,
Cortex Logic,,
BotZA,,
Lelapa AI,,
Aerobotics,,
Praelexis,,
Re-Basket,,
Innohealth Technologies,,
UTU Technologies,,
Sama AI,,
AIfluence,,
IoT.nxt,,
Amini,,
Synnefa,,
Neural Labs Africa,,
eBanqo,,
AiCopyX,,
Moosbu,,
Intron Health,,
ImaliPay,,
Edves,,
Synapse Analytics,,
Botme,,
WideBot,,
Anovate.ai,,
Convertedin,,
BlinkApp,,
Qme Solutions,,
DevisionX,,
Weelo,,
Talents Arena,,
VAIS,,
MerQ,,
Sprints,,
DataSphera,,
NextAV,,
DeepAI,,
Business & AI,,
InstaDeep,,
WaterSec,,
AquaDeep,,
Bareconnect,,
CYST,,
Dataware,,
Nokwary Technologies,,
DataPathology,,
Neurotech Africa,,
Agripoa,,
CAYTU,,
Lengo AI,,
FoondaMate,,
CoaChess,,
Khalmax Robotics,,
M-Shule,,
Creditais,,
PesaKit,,
Jamborow,,
Nomba,,
KiaKia,,
BrandDrive,,
Aibanc,,
Finnova FinancialTechnology,,
A-Trader,,
Lebfay Technology,,
Fin,,
Apollo Agriculture,,
Peslac,,
MyCover.ai,,
Tautona.ai,,
Pineapple,,
Curacel,,
Click2Sure,,
Egrobots,,
KaraAgro AI,,
DeepLeaf,,
Jaguza Tech,,
aiScarecrow Technologies,,
CLINICAGRO,,
RoboCare,,
MedSol AI,,
hearX Group,,
IndyGeneUS AI,,
Afya Rekod,,
RxAll,,
10mg Pharma,,
Proteinea,,
Rology,,
Intixel,,
Neurologs,,
Yemaachi Biotech,,
Chestify AI Labs,,
Deep Echo,,
Elsa Health,,
Afya Intellgience,,
IvyGene Labs,,
Kobo360,,
LIVE FR8,,
Butlers POS+ Logic,,
Yobante Express,,
Qik Truck,,
ATLAN Space,,
Systems One,,
Coradash,,
AT Instruments,,
Envisionit Deep AI,,
Ubenwa Health,,
Vitruvian MD,,
Chemotronix,,
Arone Energy,,
GotBot,,
Melio AI,,
Clevva,,
Karr Dynamics,,
Zindi,,
Xineoh,,
DataProphet,,
Ashanti AI,,
Eden AI,,
Isazi,,
LARCAI,,
Cortex Logic,,
BotZA,,
Lelapa AI,,
Aerobotics,,
Praelexis,,
Re-Basket,,
Innohealth Technologies,,
UTU Technologies,,
Sama AI,,
AIfluence,,
IoT.nxt,,
Amini,,
Synnefa,,
Neural Labs Africa,,
eBanqo,,
AiCopyX,,
Moosbu,,
Intron Health,,
ImaliPay,,
Edves,,
Synapse Analytics,,
Botme,,
WideBot,,
Anovate.ai,,
Convertedin,,
BlinkApp,,
Qme Solutions,,
DevisionX,,
Weelo,,
Talents Arena,,
VAIS,,
MerQ,,
Sprints,,
DataSphera,,
NextAV,,
DeepAI,,
Business & AI,,
InstaDeep,,
WaterSec,,
AquaDeep,,
Bareconnect,,
CYST,,
Dataware,,
Nokwary Technologies,,
DataPathology,,
Neurotech Africa,,
Agripoa,,
CAYTU,,
Lengo AI,,
FoondaMate,,
CoaChess,,
Khalmax Robotics,,
M-Shule,,
MedSol AI,,
hearX Group,,
IndyGeneUS AI,,
Afya Rekod,,
RxAll,,
10mg Pharma,,
Proteinea,,
Rology,,
Intixel,,
Neurologs,,
Yemaachi Biotech,,
Chestify AI Labs,,
Deep Echo,,
Elsa Health,,
Afya Intellgience,,
IvyGene Labs,,
ATLAN Space,,
Systems One,,
Coradash,,
AT Instruments,,
Envisionit Deep AI,,
Ubenwa Health,,
Vitruvian MD,,
Chemotronix,,
Arone Energy,,
Kobo360,,
LIVE FR8,,
Butlers POS+ Logic,,
Yobante Express,,
Qik Truck,,
Creditais,,
PesaKit,,
Jamborow,,
Nomba,,
KiaKia,,
BrandDrive,,
Aibanc,,
Finnova FinancialTechnology,,
A-Trader,,
Lebfay Technology,,
Fin,,
Apollo Agriculture,,
Egrobots,,
KaraAgro AI,,
DeepLeaf,,
Jaguza Tech,,
aiScarecrow Technologies,,
CLINICAGRO,,
RoboCare,,
Peslac,,
MyCover.ai,,
Tautona.ai,,
Pineapple,,
Curacel,,
Click2Sure,,
Debut Infotech,,
Markovate,,
SoloWay Technologies,,
Integrio Systems,,
Discretelogix,,
ThirdEye Data,,
Trigma,,
Umano Logic,,
Speridian Technologies,,
Technoyuga Soft Pvt. Limited,,
Iotasol,,
Master of Code Global,,
Cognitive IT Solutions,,
SkyTrut Inc.,,
Vizio Consulting,,
Invision solution,,
Soft Tech Cube,,
iQlance App Development Canada,,
Hashthink Technologies,,
Intellivizz USA LLC,,
GrapesTech Solutions Pvt. Ltd.,,
DTskill,,
Primathon Technology,,
KT Informatik,,
Iron Devs Digital,,
Incerro,,
Kody Technolab,,
CJ Technologies,,
Indca Services Limited,,
Webelight Solutions Pvt. Ltd.,,
XillenTech,,
TTT Studios,,
Excellent WebWorld,,
WebClues Infotech,,
ELEKS,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
MagmaLabs,,
Jellyfish Technologies,,
Seasia Infotech,,
CIGNEX,,
Owebest Technologies,,
Novumlogic Technologies,,
MoogleLabs,,
Gsquare Web Technologies,,
Green Apex,,
Devstree IT Services Pvt. Ltd.,,
Lumenta Digital Icn.,,
CMARIX,,
Netset Software Solutions,,
Zazz,,
Comfygen Private Limited,,
Shiv Technolabs Pvt. Ltd.,,
BitsWits,,
*instinctools,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
Fingent,,
Andersen,,
ValueCoders,,
Speridian Technologies,,
Bettoblock,,
Beyond Eris Solutions,,
Smart Chain Technology,,
Cubix,,
Interexy,,
Blocktunix,,
Maxwell Global Software,,
iGenerate,,
Innosoft UAE,,
Dart Digital Agency,,
Arcana Info,,
ScienceSoft,,
REACH 3C,,
Datametriks Analytics,,
QuantumFind AI,,
Devsinc,,
softnsolve,,
Montenegro Systems,,
Growth Anchors,,
Qubist.ae,,
SEO Company Pro,,
appscreated.com,,
Syscort Technologies,,
Fractal Digital,,
Dev Technosys Dubai,,
GALTech Technologies Pvt Ltd,,
Tessafold Inc,,
AlphaCodr Technologies LLC,,
Evotik,,
DigiExpo,,
WDCS Technology UAE,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
XillenTech,,
Engro Technologies,,
Apptunix,,
Cygnet.One,,
VentureDive,,
Appikr Labs,,
Usetech,,
Owebest Technologies,,
Damco Solutions,,
Innosoft Group,,
Binmile Technologies,,
WebClues Infotech,,
Sunmait Technologies,,
BitsWits,,
SCD Company,,
X-Byte Enterprise Solutions,,
Zazz,,
Seasia Infotech,,
Comfygen Private Limited,,
SoftTeco,,
M TECHUB LLc,,
ilink,,
Expert App Devs,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
N/A,,
