Company,CEO
Sensis Pty Ltd,John Allan
Houzz Inc.,Adi Tatarko
ZipLeaf Ltd,Martin H. 
Sold Media Pty Ltd,Abbie White 
Points of Interest Australia Pty Ltd,
NearFinder Australia Pty Ltd,Sean Winstone 
Opening Hours Australia Pty Ltd,Abbie White 
Free Listing Australia Pty Ltd,Mick Rahman 
Home and Garden Australia Pty Ltd,Matt Priest 
Find Postcode Pty Ltd,Christopher Drew 
Sources Pty Ltd,Donovan Clifford 
Apple Inc.,Tim Cook
EnrollBusiness.com,Tony Zhang 
PRLog,Ryan Sasso
Place123, Bosun Adewale
TrueLocal Pty Ltd,John Allan
SEEK Limited,Ian Narev
Sulekha.com New Media Pvt Ltd,Satya Prabhakar
IndiaMART InterMESH Ltd,
IndiaBizList,Paras Dhankecha
Weblink .In Pvt Ltd,CEO Mr. Ankit Gupta 
Yelp Inc.,Jeremy Stoppelman
Quikr India Private Limited,Pranay Chulet
OLX India,Amit Kumar 
Four Interactive Pvt Ltd,Kiran Konduri 
Grotal.com,R.P Singh 
Click India Infomedia Pvt Ltd,Pankaj Agarwal
LeadsRain,Jay Smiht 
ZipLeaf,Cynthia Scott
Global Sources,Hu Wei
Kompass International,Emmanuel Facovi
MyTradeZone,Bachir Kassir
Udaan,Vaibhav Gupta
Bizporto,Suresh Salunkhe 
City Innovates Pvt Ltd,Satish Sharma
Tuugo, Alain Wahba,
Scoot,Mr Leslie Thng
The Trade Finder,Dan Biggs 
Lacartes,Lacoste
Locanto,Klaus P.
Hotfrog UK,James Geedy 
Yalwa,Klaus P.
Bizify,Josh Howerton 
B2B Listings,Richard O'Connor 
Find The Needle,Kavita Appachu 
Home and Garden Listings,Don Joseph -
Local Life,Krys Stedman - CEO - Local Life Australia
AbiLogic,"Patrice Krysztofiak 
Acompio,Olaf Brenn - CEO - Kapelan e-promote UG
BOTW,CEO of Zelink (Posts tagged botw) - Art
118 Information,Patrick Bradshaw
Lisburn Today,David Burns
Wandsworth Pages,Beverley Corson 
Southwark Pages,
Get West London,Maria Obrien 
Bizcommunity,Andre Rademan
Applegate,Stephen McDonnell
Alba Business Directory,Xavier de Goursac
Europages,Paolo Giuri
192.com,Alastair Crawford
Dentons,Kate Barton 
GPS Data Team,"Marc Kerrest
Cybo,Joel Daon 
Find-Us-Here,H
CitiPages,Hlumelo Nyaluza
Yell,Mark Clisby 
Near,Marieke Flament
WhoDoYou,Carol Lancaster 
Tipped,Kimlynn Temple
JustLanded,Simon Lynch 
Yelp,Jeremy Stoppelman
CityVisitor,
YellowLeaf,Jason Hunter 
iBegin,Bob Hayden-Gilbert 
BookedIn,Michal Iwasiow
UK Safety,Sarah Albon
Local Pages Ltd, Martin Wyatt
UK Listings,Julia Hoggett 
UK Letting Agent,Sandra Blake 
HubSpot Inc.,Yamini Rangan
American City Business Journals,Whitney Shaw
Alignable Inc.,Eric Groves
Angi Inc.,Jeffrey W.
Manta Media Inc.,Caldwell Partners Finds CEO for Manta Media
Thumbtack Inc.,Marco Zappacosta
LinkedIn Corporation,Ryan Roslansky 
YP Holdings LLC,Jared Rowe
SuperMedia LLC,Peter McDonald
Microsoft Corporation,Satya Nadella
Tripadvisor Inc.,Matt Goldberg
YP Local,Patrick Parfait YAKAN
Brownbook,Kat Davis
ChamberofCommerce.com,Austin Andrukaitis
eLocal USA LLC,Jeff Paradise
AOL Inc.,AOL CEO
Thomson Reuters,Steve Hasker
Insider Pages,Hande Cilingir
N49,Rafael Pinto
CitySquares,Annam Manthiram
Dun & Bradstreet,Anthony Jabbour
Infobel,Alain Wahba
TomTom N.V.,Harold Goddijn
Trustpilot,Adrian Blair
Amazon.com,Andy Jassy
AngelList,Avlok Kohli
TradeIndia,Sandip Chhettri
YellowBot,"Raghavendra Ravinutal
Snapdeal,Achint Setia
Sulekha,Satya Prabhakar
ExportersIndia,Ankit Gupta
MouthShut.com,Faisal Farooqui
Everplaces,"Tine Thygese
Index,"Andrew Casal
Cybo Inc.,email address
Craft.co,Ilya Levtov
StartUs GmbH,David R.
Zumvu,"Praveen Nahata
CraftFoxes,Jaime Echt
Findit,Kiran D.
40Billion.com,Cornelius McNab
AppFutura,Bernat Guitart
AskLaila,"asklaila CE
Zauba Corp,Mansoor Ahmed
India Online Network,Rahul Narvekar
Siftery,
The News Funnel,Fredrik Skantze
GlobalCatalog.com,Milan Huck
CSS Light,Paul Connelly
Tupalo.com,Clemens Beer
fullhyd.com,"Andrew Yate
AdSansar,Tarun kothari
Creative Match,"Leah Hoyer
eWire,Sajeev 
Qutee,Tim Wilson
IGotBiz,Michael Backe
Elite Services Network,Meet AnJanee Pol
CGMIMM,Jonathan Dickey 
WowCity,Olutomi Oladimeji
oGoing,Sanjay B Dalal
Pitnit,Patni
LinqTo,Joe Endoso
Akama,email address
Zipleaf,Cynthia Scott
PeepLocal,Peep Laj
BizSheet,Ekta Shah
GoStartups,Sami Abuzarifa
CityByApp,Jerome Mark Mikulich
Macro Market,Herbert Chu
HR Business Live,Rehan Tariq 
Hotfrog,James Geedy
YellowPages.in,David Eckert
Grotal,R.P Singh
Kompass,Emmanuel Facovi
BizPorto,Suresh Salunkhe
HubSpot,Yamini Rangan
Whitepages,Leigh McMillan 
Alignable,Eric Groves
Angi,Jeffrey W.
Thumbtack,Marco Zappacosta
Thryv,Joe Walsh
AOL,Tim Armstrong
TomTom,Harold Goddijn
GGL Projects LLC,Rachna Kedia
ReleaseWire,"Daniel Jones
Business World,Bhuvanesh Khanna 
Myntra,Nandita Sinha
Trepup,John Verbic
